Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
48,Northern Iowa,MVC,25-6,13.49,112.8,21,99.3,107,65.7,298,0.019,134,1.02,124,102.7,144,101.6,111,1.35,132
49,Arkansas,SEC,19-12,13.41,108.8,57,95.4,54,71.2,45,-0.052,303,6.75,61,106.9,36,100.1,86,1.22,140
50,Connecticut,Amer,19-12,13,108.6,63,95.6,59,68.5,167,-0.077,326,4.56,85,103.2,121,98.6,54,-1.64,233
51,N.C. State,ACC,19-12,12.93,110.8,39,97.9,83,69.4,108,-0.022,243,7.16,55,105.5,70,98.3,49,-2.95,272
52,Oklahoma St.,B12,17-14,12.85,107.2,85,94.3,42,68.4,170,0.02,130,11.43,12,107.2,28,95.7,5,4.21,51
53,Washington,P12,15-16,12.69,105.9,112,93.2,32,69.5,101,-0.151,353,7.09,57,105.2,76,98.1,42,1,149
54,USC,P12,22-9,12.37,104.4,148,92,19,68.9,141,0.083,16,6.34,67,105.2,75,98.9,63,-1.4,227
55,Syracuse,ACC,17-14,12.14,112.8,23,100.6,132,68.2,183,-0.059,314,6.72,62,105.6,67,98.9,62,-1.21,222
56,East Tennessee St.,SC,29-4,11.75,108,72,96.2,65,66.2,277,0.07,26,-2.08,205,103,132,105.1,273,-0.78,204
57,Yale,Ivy,23-7,11.55,108,71,96.4,66,67.4,224,-0.026,253,0.21,142,102.2,181,101.9,121,3.65,64
58,Memphis,Amer,21-10,11.51,100.6,211,89.1,5,72.6,27,0.025,117,4.77,81,104.6,90,99.8,83,-2.31,250
59,Notre Dame,ACC,19-12,11.5,110.7,41,99.2,106,68,195,-0.021,240,5.27,77,105.2,77,99.9,84,-8.84,348
60,Alabama,SEC,16-15,11.48,111,37,99.5,112,74.7,3,-0.076,325,7.81,49,107,35,99.1,68,3.89,61
61,Texas,B12,19-12,11.47,104,154,92.6,24,65.9,295,0.089,11,10.04,29,107,34,97,17,-0.28,185
62,Saint Louis,A10,23-8,11.45,105.8,114,94.4,43,67.6,218,0.026,111,1.88,115,103.2,123,101.3,99,-1.69,234
63,Georgetown,BE,15-16,11.28,111.7,33,100.4,126,70,85,-0.047,297,10.64,23,108,15,97.4,26,1.51,125
64,Arizona St.,P12,20-11,11.24,106,109,94.8,48,73.3,14,0.069,28,8.14,44,106.4,43,98.3,47,2.5,90
65,Georgia Tech,ACC,17-14,11.18,103,172,91.8,17,70,88,-0.006,197,9.31,34,107,31,97.7,35,3.97,59
66,Rhode Island,A10,21-9,11.09,105.3,128,94.2,40,71.2,46,0.068,30,4.66,83,105.1,81,100.5,92,4.02,56
67,Tennessee,SEC,17-14,10.8,106.6,95,95.8,61,65.2,313,-0.02,237,8.11,45,106.3,47,98.1,44,2.77,79
68,Davidson,A10,16-14,10.69,112.6,26,101.9,165,64.7,329,-0.094,341,3.74,91,103.2,122,99.4,74,3.1,73
69,South Carolina,SEC,18-13,10.66,105.4,124,94.8,49,73.1,17,-0.023,249,6.08,72,105.5,69,99.4,72,-0.49,193
70,Vermont,AE,25-7,10.56,106.1,107,95.6,57,66.2,276,-0.033,269,-5.16,269,99,316,104.1,226,1.83,109
