Rk,School,Tourney Wins,W,L,W-L%,"SRS
▼",SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
77,Oklahoma State,99,12,20,0.375,8.09,11.53,5,13,8,7,2,10,2178,2288,1285,760,1796,0.423,280,753,0.372,378,549,0.689,295,1093,422,183,139,386,516
78,Notre Dame,99,14,19,0.424,7.97,8.28,3,15,11,8,1,9,2266,2276,1320,776,1973,0.393,272,863,0.315,442,594,0.744,370,1208,423,179,148,306,455
79,Pittsburgh,99,14,19,0.424,7.88,6.69,3,15,11,7,0,11,2306,2267,1330,769,1841,0.418,225,680,0.331,543,779,0.697,383,1211,387,227,126,448,611
80,St. John's (NY) NCAA,99,21,13,0.618,7.88,5.5,8,10,11,4,4,7,2623,2542,1375,944,2100,0.45,289,809,0.357,446,620,0.719,264,1120,472,302,111,357,650
81,Oregon State,99,18,13,0.581,7.84,4.29,10,8,10,5,6,5,2275,2165,1250,800,1728,0.463,203,633,0.321,472,636,0.742,310,1091,465,185,164,384,536
82,Wichita State,99,22,15,0.595,7.72,5.91,10,8,10,4,7,7,2609,2542,1485,929,2277,0.408,276,890,0.31,475,655,0.725,452,1417,499,174,135,446,705
83,Furman,99,25,8,0.758,7.46,-1.5,13,5,13,3,11,4,2562,2182,1340,930,1962,0.474,338,935,0.361,364,508,0.717,326,1171,524,288,137,407,481
84,Texas A&M,99,14,18,0.438,7.21,8.59,6,12,9,8,3,7,2253,2297,1280,806,1842,0.438,204,663,0.308,437,631,0.693,372,1195,376,215,142,444,521
85,UCLA,99,17,16,0.515,7.17,6.78,9,9,13,5,3,7,2580,2567,1335,919,2012,0.457,256,721,0.355,486,768,0.633,380,1361,472,194,136,467,563
86,West Virginia,99,15,21,0.417,6.94,10.57,4,14,11,7,0,10,2655,2786,1460,901,2181,0.413,269,852,0.316,584,849,0.688,519,1425,488,223,126,557,707
87,Georgia Tech,99,14,18,0.438,6.93,8.15,6,12,11,7,3,9,2091,2130,1285,755,1714,0.44,176,573,0.307,405,588,0.689,262,1074,433,221,166,459,560
88,Connecticut,99,16,17,0.485,6.81,4.32,6,12,13,5,1,8,2436,2354,1325,874,1959,0.446,252,732,0.344,436,641,0.68,380,1167,422,200,145,427,643
89,Georgetown,99,19,14,0.576,6.8,5.31,9,9,13,6,5,6,2625,2576,1355,894,2017,0.443,269,757,0.355,568,771,0.737,350,1299,542,198,131,443,581
